request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_185,336.82,affordable_later,wait,2025-11-15:1257.3,2025-11-15,none,"Pay EUR 1,257.30 in full on 15 November 2025. Paying earlier would take the balance below the EUR 1,300 minimum."
request_186,1938.29,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 26,554 request. Although ZAR 1,938.29 is available today, the full amount cannot be completed safely within 90 days."
request_187,35188.42,affordable_later,wait,2024-10-15:187500,2024-10-15,none,"Pay INR 187,500 in full on 15 October 2024. Paying earlier would take the balance below the INR 128,300 minimum."
request_188,0,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2025. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,482.68,affordable_later,wait,2024-12-15:2557.5,2024-12-15,none,"Pay EUR 2,557.50 in full on 15 December 2024. Paying earlier would take the balance below the EUR 1,600 minimum."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,29.74,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,046 request. Although USD 29.74 is available today, the full amount cannot be completed safely within 90 days."
request_193,10.04,not_affordable,not_recommended,none,2024-03-15,none,"Do not proceed with the EUR 1,212.20 request. Although EUR 10.04 is available today, the full amount cannot be completed safely within 90 days."
request_194,29564.43,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Pay INR 132,800 in full on 23 October 2025. Paying earlier would take the balance below the INR 113,600 minimum."
request_195,1042.55,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,"Use 3 installments of EUR 405.74, starting 9 January 2026. This leaves at least EUR 700 available."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,43314302.42,affordable_with_plan,partial_payment,2025-11-05:43314302.42|2025-11-15:7624697.58,2025-11-15,none,"Pay IDR 43,314,302 today and the remaining IDR 7,624,698 on 15 November 2025. This completes the full request and keeps the IDR 26,245,900 minimum protected."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,987, starting 7 September 2024. This leaves at least IDR 25,359,500 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available over the next 90 days."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1,400 available."
request_204,488.54,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Pay EUR 588.74 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,3811.04,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,3268989.61,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Pay IDR 4,413,000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 10,470,700 minimum."
request_209,1196.5,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56,914 request. Although ZAR 1,196.50 is available today, the full amount cannot be completed safely within 90 days."
request_210,905.32,affordable_with_plan,partial_payment,2026-04-06:905.32|2026-04-15:454.7,2026-04-15,none,"Pay USD 905.32 today and the remaining USD 454.70 on 15 April 2026. This completes the full request and keeps the USD 2,000 minimum protected."
request_211,190.13,affordable_later,wait,2024-10-15:1788.6,2024-10-15,none,"Pay EUR 1,788.60 in full on 15 October 2024. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,2641769.76,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71,934,000 request. Although IDR 2,641,770 is available today, the full amount cannot be completed safely within 90 days."
request_213,2785.38,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,,none,"Use 3 installments of USD 1,165.63, starting 21 January 2026. This leaves at least USD 2,100 available."
request_214,23754.42,affordable_with_plan,partial_payment,2024-12-04:23754.42|2024-12-15:45995.58,2024-12-15,none,"Pay INR 23,754.42 today and the remaining INR 45,995.58 on 15 December 2024. This completes the full request and keeps the INR 174,900 minimum protected."
request_215,26699.66,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,,none,"Use 3 installments of ZAR 10,395.15, starting 9 May 2025. This leaves at least ZAR 15,700 available."
request_216,404.8,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,332.40 request. Although USD 404.80 is available today, the full amount cannot be completed safely within 90 days."
request_217,15188.42,not_affordable,not_recommended,none,2024-03-15,none,"Do not proceed with the ZAR 37,180 request. Although ZAR 15,188.42 is available today, the full amount cannot be completed safely within 90 days."
request_218,24052155.21,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,"Use 3 installments of IDR 21,195,893, starting 7 August 2025. This leaves at least IDR 34,477,200 available."
request_219,747.51,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. This leaves at least EUR 1,100 available."
request_220,22.88,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,118.50 request. Although EUR 22.88 is available today, the full amount cannot be completed safely within 90 days."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,7538927.82,affordable_with_plan,partial_payment,2025-02-04:7538927.82|2025-02-15:2788072.18,2025-02-15,none,"Pay IDR 7,538,928 today and the remaining IDR 2,788,072 on 15 February 2025. This completes the full request and keeps the IDR 22,187,600 minimum protected."
request_225,10978779.55,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-07-15,none,"Use 3 installments of IDR 7,647,120, starting 20 July 2026. This leaves at least IDR 17,670,700 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This leaves at least INR 209,400 available over the next 90 days."
request_227,5572.23,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259,700 request. Although INR 5,572.23 is available today, the full amount cannot be completed safely within 90 days."
request_228,659074.87,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63,327,000 request. Although IDR 659,075 is available today, the full amount cannot be completed safely within 90 days."
request_229,491.73,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-03-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1,000 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,27815.51,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Use 3 installments of ZAR 12,378.08, starting 6 January 2026. This leaves at least ZAR 24,300 available."
request_232,0,affordable_later,wait,2024-06-15:1970.1,2024-06-15,none,"Pay EUR 1,970.10 in full on 15 June 2024. Paying earlier would take the balance below the EUR 2,400 minimum."
request_233,3947408.19,affordable_with_plan,partial_payment,2025-11-07:3947408.19|2025-11-15:2293591.81,2025-11-15,none,"Pay IDR 3,947,408 today and the remaining IDR 2,293,592 on 15 November 2025. This completes the full request and keeps the IDR 10,365,700 minimum protected."
request_234,158.32,affordable_later,wait,2026-08-15:1213.3,2026-08-15,none,"Pay EUR 1,213.30 in full on 15 August 2026. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,6016848.96,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000 request. Although IDR 6,016,849 is available today, the full amount cannot be completed safely within 90 days."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000 today. This leaves at least IDR 22,431,500 available over the next 90 days."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This leaves at least USD 700 available."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,6455.05,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 101,200 request. Although INR 6,455.05 is available today, the full amount cannot be completed safely within 90 days."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,027, starting 17 March 2024. This leaves at least IDR 19,252,000 available."
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the INR 94,600 minimum protected."
request_246,56579.3,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,,none,"Use 3 installments of ZAR 22,216.48, starting 3 April 2026. This leaves at least ZAR 39,300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,232.8,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,965.60 request. Although USD 232.80 is available today, the full amount cannot be completed safely within 90 days."
request_249,184.48,affordable_later,wait,2026-01-15:643.2,2026-01-15,none,Pay USD 643.20 in full on 15 January 2026. Paying earlier would take the balance below the USD 600 minimum.
request_250,14347.27,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124,278 request. Although ZAR 14,347.27 is available today, the full amount cannot be completed safely within 90 days."
request_251,964.89,not_affordable,not_recommended,none,2025-05-05,none,"Do not proceed with the EUR 1,513.60 request. Although EUR 964.89 is available today, the full amount cannot be completed safely within 90 days."
request_252,4050034.25,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,"Pay IDR 28,082,000 in full on 15 August 2026. Paying earlier would take the balance below the IDR 15,152,200 minimum."
request_253,1375.59,not_affordable,not_recommended,none,2024-03-15,none,"Do not proceed with the EUR 2,840.20 request. Although EUR 1,375.59 is available today, the full amount cannot be completed safely within 90 days."
request_254,569.8,affordable_later,wait,2025-09-15:3535.2,2025-09-15,none,"Pay USD 3,535.20 in full on 15 September 2025. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000 today. This leaves at least IDR 9,813,900 available over the next 90 days."
request_256,142907.03,not_affordable,not_recommended,none,2024-06-15,none,"Do not proceed with the INR 218,700 request. Although INR 142,907.03 is available today, the full amount cannot be completed safely within 90 days."
request_257,0,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,"Pay USD 1,352.40 in full on 15 November 2025. Paying earlier would take the balance below the USD 1,600 minimum."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500 available over the next 90 days."
request_259,195.17,affordable_later,wait,2024-10-15:935,2024-10-15,none,Pay EUR 935 in full on 15 October 2024. Paying earlier would take the balance below the EUR 600 minimum.
request_260,4808687.43,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,079,000 request. Although IDR 4,808,687 is available today, the full amount cannot be completed safely within 90 days."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,0,affordable_later,wait,2024-12-15:9236000,2024-12-15,none,"Pay IDR 9,236,000 in full on 15 December 2024. Paying earlier would take the balance below the IDR 31,018,500 minimum."
request_263,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2025. None of the available options keeps the ZAR 24,100 minimum protected."
request_264,20365.41,affordable_later,wait,2026-05-15:111300,2026-05-15,none,"Pay INR 111,300 in full on 15 May 2026. Paying earlier would take the balance below the INR 59,500 minimum."
request_265,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 March 2024. None of the available options keeps the INR 189,700 minimum protected."
request_266,787.51,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-15,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This leaves at least EUR 900 available."
request_267,1678.3,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Use 3 installments of EUR 667.33, starting 8 January 2026. This leaves at least EUR 1,500 available."
request_268,998.61,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-06-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1,400 available."
request_269,8914.53,affordable_later,wait,2025-11-15:15490,2025-11-15,none,"Pay ZAR 15,490 in full on 15 November 2025. Paying earlier would take the balance below the ZAR 23,100 minimum."
request_270,63.99,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,028.80 request. Although USD 63.99 is available today, the full amount cannot be completed safely within 90 days."
request_271,10213.22,affordable_later,wait,2024-09-15:91300,2024-09-15,none,"Pay INR 91,300 in full on 15 September 2024. Paying earlier would take the balance below the INR 58,200 minimum."
request_272,5118421.2,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,"Use 3 installments of IDR 4,709,467, starting 12 February 2025. This leaves at least IDR 7,508,600 available."
request_273,10288248.67,affordable_with_plan,partial_payment,2026-04-07:10288248.67|2026-04-15:5572751.33,2026-04-15,none,"Pay IDR 10,288,249 today and the remaining IDR 5,572,751 on 15 April 2026. This completes the full request and keeps the IDR 18,774,600 minimum protected."
request_274,2188.72,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Use 3 installments of EUR 940.75, starting 4 December 2024. This leaves at least EUR 1,800 available."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
